player_id,name,match_tier,overall_before,overall_after,delta
221358,Jordan Rossiter,id,58,61,3
219575,Cristian Bordacahar,id,73,75,2
225532,Ibrahim Cissé,id,70,72,2
220785,Antonio Čolak,id,69,71,2
220702,Gastón Silva,id,68,70,2
259036,Viktor Korniienko,id,67,69,2
252038,Romário Baró,id,67,69,2
258041,Hugo Novoa,id,67,69,2
241588,Toni Moya,id,67,69,2
274231,Óscar Perea,id,67,69,2
252470,Matchoi Djaló,id,66,68,2
279256,Théo,id,66,68,2
267632,Lóránd Pászka,id,66,68,2
199602,John Guidetti,id,64,66,2
79080,Emre Aytun,id,62,64,2
229856,Javier Parraguez,id,61,63,2
225674,Diego Fernández,id,60,62,2
279196,Nahuel Arias,id,60,62,2
245059,Maximiliano Zelaya,id,60,62,2
279201,Matt Sheridan,id,58,60,2
239842,Georgios Giakoumakis,id,75,76,1
263439,Paulo Bernardo,id,73,74,1
248166,Lasse Berg Johnsen,id,73,74,1
226789,Angelo Fulgini,id,73,74,1
223779,Damian Szymański,id,73,74,1
194794,Andriy Yarmolenko,id,73,74,1
233588,Elgezabal,id,73,74,1
244288,Adam Idah,id,73,74,1
187132,Carlos Zambrano,id,73,74,1
256341,Francho Serrano,id,72,73,1
227835,Tesfaldet Tekie,id,72,73,1
262219,Björn Meijer,id,72,73,1
223637,Andy Polo,id,72,73,1
211241,Rubén Peña,id,72,73,1
243731,Santiago González,id,72,73,1
227508,Melero,id,72,73,1
258308,Oleksandr Tymchyk,id,72,73,1
252573,Aleksa Terzić,id,72,73,1
210951,Edison Flores,id,72,73,1
73413,Carracedo,id,72,73,1
238235,Hugo Vetlesen,id,71,72,1
257271,Lucas Gourna-Douath,id,71,72,1
227477,Facundo Altamirano,id,71,72,1
266755,Vladyslav Dubinchak,id,71,72,1
248049,Claudiu Petrila,id,71,72,1
251922,Soberón,id,71,72,1
229436,Stefan Gartenmann,id,71,72,1
234827,Jacob Rasmussen,id,71,72,1
226958,Ronivaldo,id,71,72,1
237031,Bernardo Cuesta,id,71,72,1
265671,Dani Tasende,id,70,71,1
208621,Óscar Plano,id,70,71,1
182896,Roberto Rosales,id,70,71,1
225204,Raúl Guti,id,70,71,1
260397,Yang Hyun Jun,id,70,71,1
212747,Tomás Martínez,id,70,71,1
236817,Habib Maïga,id,70,71,1
223489,Aleksandar Pešić,id,70,71,1
254099,Carlos Marín,id,70,71,1
274724,Vladyslav Kabaev,id,70,71,1
241499,Carlos Garcés,id,70,71,1
198904,Grant Hanley,id,70,71,1
254373,Jean-Pierre Archimbaud,id,69,70,1
214294,Esteban Pavez,id,69,70,1
248471,Matthäus Taferner,id,69,70,1
270338,Vilarrasa,id,69,70,1
261648,Maurice Cova,id,69,70,1
241055,Diego Pampín,id,69,70,1
259833,Jhilmar Lora,id,69,70,1
197971,Denis Alibec,id,69,70,1
74978,Eduardo Guerrero,id,69,70,1
274845,Mathys Tourraine,id,69,70,1
222165,Emil Hansson,id,69,70,1
271620,Leo Bolgado,id,69,70,1
269489,Fábio Ronaldo,id,68,69,1
244438,Youba Diarra,id,68,69,1
234867,Daniel Arzani,id,68,69,1
246013,Horacio Calcaterra,id,68,69,1
272599,Tuomas Ollila,id,68,69,1
275462,Catriel Cabellos,id,68,69,1
255760,Bartłomiej Wdowik,id,68,69,1
241536,Manprit Sarkaria,id,68,69,1
250952,Karlo Muhar,id,68,69,1
263787,Victor Bobsin,id,68,69,1
242489,Pejiño,id,68,69,1
209532,Daniel Bachmann,id,68,69,1
239091,Lukas Grgić,id,68,69,1
255105,Ilya Shkurin,id,68,69,1
269562,Sayfallah Ltaief,id,68,69,1
248054,Laurențiu Popescu,id,68,69,1
260086,Alex Millán,id,68,69,1
212208,Leonel Galeano,id,68,69,1
236508,Adrián Diéguez,id,68,69,1
233435,Manuel Maranda,id,68,69,1
248470,Johannes Handl,id,68,69,1
186395,Matt Ritchie,id,67,68,1
244795,Jonas Auer,id,67,68,1
254204,Paolo Reyna,id,67,68,1
239397,Braydon Manu,id,67,68,1
262081,Álex Cantero,id,67,68,1
274830,Michał Gurgul,id,67,68,1
210489,Louis Schaub,id,67,68,1
240725,Ismaël Aaneba,id,67,68,1
259579,Salomón Rodríguez,id,67,68,1
274729,Maksym Dyachuk,id,67,68,1
238940,Jakub Jugas,id,67,68,1
278001,Dani Barcia,id,67,68,1
239394,Florian Flecker,id,66,67,1
254347,Alfredo Ramúa,id,66,67,1
221986,Jeff Hardeveld,id,66,67,1
214874,Marcos Bolados,id,66,67,1
203026,Petar Filipović,id,66,67,1
237206,Alvaro Rodríguez,id,66,67,1
176048,Kei Kamara,id,66,67,1
266692,Alexander Oroz,id,66,67,1
71388,Cabello,id,66,67,1
260204,Alejandro Ramos,id,66,67,1
210482,Simon Piesinger,id,66,67,1
228058,Lukas Gugganig,id,66,67,1
224724,Tayfur Bingöl,id,65,66,1
270704,Dylan Durivaux,id,65,66,1
248300,Manvir Singh,id,65,66,1
277593,Srđan Kuzmić,id,65,66,1
260336,Raudy Guerrero,id,65,66,1
274463,Cheick Oumar Konaté,id,65,66,1
186101,Even Hovland,id,65,66,1
242325,Malcom Edjouma,id,63,64,1
242764,Hideki Ishige,id,63,64,1
209361,Tim Payne,id,63,64,1
243664,Florian Rieder,id,63,64,1
269952,Yvandro Borges Sanches,id,63,64,1
229543,David Kiki,id,63,64,1
214231,Marcelo Jorquera,id,63,64,1
257304,Ammar Helac,id,63,64,1
192765,Pablo Camacho,id,63,64,1
221425,Kazuki Nagasawa,id,62,63,1
240978,Danny Mândroiu,id,62,63,1
217990,Juan Pablo Gómez,id,62,63,1
258453,Benjamin Babati,id,62,63,1
225625,Kane Vincent-Young,id,61,62,1
73927,Marcelo,id,61,62,1
251884,Bryan Fiabema,id,61,62,1
248227,Carlo Armiento,id,60,61,1
243163,Danny Grant,id,60,61,1
213281,Paulo Retre,id,60,61,1
79181,Luca Stancu,id,60,61,1
258122,Axel Sjöberg,id,60,61,1
252477,Joshua Oluwayemi,id,60,61,1
198190,Greg Cunningham,id,60,61,1
258373,Marian Danciu,id,60,61,1
263046,Oliver Strunz,id,59,60,1
211978,Seán Hoare,id,59,60,1
262181,Archie Meekison,id,58,59,1
273464,John-Kymani Gordon,id,58,59,1
239353,Navajo Bakboord,id,58,59,1
225406,James Talbot,id,58,59,1
250815,Connor Parsons,id,58,59,1
276461,Lukas Kelly-Heald,id,58,59,1
